taskid,token_count,original_word_count
TASK0223,11,11
TASK0224,6,6
TASK0225,9,9
TASK0226,5,5
TASK0227,9,9
TASK0228,5,5
TASK0229,5,5
TASK0230,6,6
TASK0231,7,7
TASK0232,11,11
TASK0233,5,5
TASK0234,5,5
TASK0235,9,9
TASK0236,5,5
TASK0237,8,8
TASK0238,6,6
TASK0239,7,7
TASK0240,8,8
TASK0241,8,8
TASK0242,7,7
TASK0243,7,7
TASK0244,9,9
TASK0245,9,9
TASK0246,5,5
TASK0247,11,11
TASK0248,6,6
TASK0249,10,10
TASK0250,8,8
TASK0251,8,8
TASK0252,10,10
TASK0253,8,8
TASK0254,8,8
TASK0255,7,7
TASK0256,9,9
TASK0257,8,8
TASK0258,7,7
TASK0259,12,12
TASK0260,9,9
TASK0261,5,5
TASK0262,8,8
TASK0263,5,5
TASK0264,9,9
TASK0265,7,7
TASK0266,10,10
TASK0267,6,6
TASK0268,6,6
TASK0269,9,9
TASK0270,4,4
TASK0271,7,7
TASK0272,6,6
TASK0273,6,6
TASK0274,7,7
TASK0275,7,7
TASK0276,9,9
TASK0277,8,8
TASK0278,7,7
TASK0279,6,6
TASK0280,4,4
TASK0281,11,11
TASK0282,9,9
TASK0283,5,5
TASK0284,10,10
TASK0285,7,7
TASK0286,8,8
TASK0287,6,6
TASK0288,8,8
TASK0289,8,8
TASK0290,7,7
TASK0291,12,12
TASK0292,7,7
TASK0293,7,7
TASK0294,6,6
TASK0295,5,5
TASK0296,6,6
TASK0297,7,7
TASK0298,5,5
TASK0299,5,5
TASK0300,10,10
TASK0301,5,5
TASK0302,4,4
TASK0303,7,7
TASK0304,6,6
TASK0305,10,10
TASK0306,9,9
TASK0307,7,7
TASK0308,4,4
TASK0309,6,6
TASK0310,7,7
TASK0311,5,5
TASK0312,9,9
TASK0313,10,10
TASK0314,9,9
TASK0315,11,11
TASK0316,6,6
TASK0317,5,5
TASK0318,5,5
TASK0319,6,6
TASK0320,9,9
TASK0321,5,5
TASK0322,7,7
TASK0323,6,6
TASK0324,8,8
TASK0325,5,5
TASK0326,5,5
TASK0327,7,7
TASK0328,5,5
TASK0329,5,5
TASK0330,9,9
TASK0331,6,6
TASK0332,7,7
TASK0333,8,8
TASK0334,8,8
TASK0335,10,10
TASK0336,5,5
TASK0337,7,7
TASK0338,6,6
TASK0339,6,6
TASK0340,7,7
TASK0341,8,8
TASK0342,6,6
TASK0343,9,9
TASK0344,4,4
TASK0345,8,8
TASK0346,9,9
TASK0347,6,6
TASK0348,5,5
TASK0349,4,4
TASK0350,12,12
TASK0351,6,6
TASK0352,8,8
TASK0353,6,6
TASK0354,6,6
TASK0355,5,5
TASK0356,7,7
TASK0357,10,10
TASK0358,10,10
TASK0359,7,7
TASK0360,9,9
TASK0361,7,7
TASK0362,9,9
TASK0363,5,5
TASK0364,8,8
TASK0365,6,6
TASK0366,11,11
TASK0367,6,6
TASK0368,7,7
TASK0369,5,5
TASK0370,8,8
TASK0371,8,8
TASK0372,5,5
TASK0373,6,6
TASK0374,6,6
TASK0375,9,9
TASK0376,6,6
TASK0377,9,9
TASK0378,8,8
TASK0379,9,9
TASK0380,8,8
TASK0381,6,6
TASK0382,10,10
TASK0383,8,8
TASK0384,4,4
TASK0385,8,8
TASK0386,8,8
TASK0387,8,8
TASK0388,6,6
TASK0389,6,6
TASK0390,7,7
TASK0391,6,6
TASK0392,8,8
TASK0393,4,4
TASK0394,8,8
TASK0395,8,8
TASK0396,6,6
TASK0397,6,6
TASK0398,7,7
TASK0399,8,8
TASK0400,3,3
TASK0401,5,5
TASK0402,10,10
TASK0403,6,6
TASK0404,10,10
TASK0405,6,6
TASK0406,10,10
TASK0407,10,10
TASK0408,11,11
TASK0409,8,8
TASK0410,7,7
TASK0411,10,10
TASK0412,10,10
TASK0413,4,4
TASK0414,6,6
TASK0415,9,9
TASK0416,7,7
TASK0417,9,9
TASK0418,5,5
TASK0419,8,8
TASK0420,5,5
TASK0421,8,8
TASK0422,10,10
TASK0423,5,5
TASK0424,9,9
TASK0425,7,7
TASK0426,6,6
TASK0427,5,5
TASK0428,9,9
TASK0429,8,8
TASK0430,12,12
TASK0431,9,9
TASK0432,6,6
TASK0433,10,10
TASK0434,8,8
TASK0435,7,7
TASK0436,6,6
TASK0437,7,7
TASK0438,12,12
TASK0439,7,7
TASK0440,7,7
TASK0441,4,4
TASK0442,8,8
TASK0443,7,7
TASK0444,6,6
TASK0445,6,6
TASK0446,7,7
TASK0447,7,7
TASK0448,5,5
TASK0449,7,7
TASK0450,7,7
